,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
492,porto novo,BJ,80.31,broken clouds,6.4965,2.6036,Hôtel 6500 CFA
494,bairiki,KI,79.65,broken clouds,1.3292,172.9752,Marry's Motel
506,noumea,NC,80.58,clear sky,-22.2763,166.4572,Hotel Gondwana
512,kokopo,PG,83.23,overcast clouds,-4.352,152.2633,Hotel Kokopo
518,upata,VE,77.2,light rain,8.0086,-62.3989,Hotel Garibardi
535,pekan,MY,78.96,overcast clouds,3.4836,103.3996,Ancasa Royale Hotel
543,ambanja,MG,75.22,overcast clouds,-13.6833,48.45,Hôtel Salama Rose
549,key largo,US,82.0,broken clouds,25.0865,-80.4473,Key Largo Inn
551,praia,CV,76.48,clear sky,14.9215,-23.5087,Casa Sodadi
557,caninde,BR,83.59,overcast clouds,-4.3589,-39.3117,Hotel Jardineira
564,santa rosa,PH,78.78,scattered clouds,14.3122,121.1114,JARS RESORT
567,makakilo city,US,79.12,scattered clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
572,luis correia,BR,84.2,few clouds,-2.8792,-41.6669,Hotel Amaro
574,puerto colombia,CO,82.13,light rain,10.9878,-74.9547,Hotel Puerto Colombia
578,torit,SS,80.35,overcast clouds,4.4133,32.5678,Safari Link
579,hervey bay,AU,77.0,scattered clouds,-25.2986,152.8535,Hervey Bay Hotel
585,namatanai,PG,83.75,overcast clouds,-3.6667,152.4333,Namatanai Hotel
590,chapada dos guimaraes,BR,87.46,scattered clouds,-15.4606,-55.7497,Pousada Rios
596,samana,DO,80.56,few clouds,19.2056,-69.3369,Hotel Cotubanamá
597,braganca,BR,78.49,broken clouds,-1.0536,-46.7656,Bragança Palace Hotel
600,trincomalee,LK,79.66,overcast clouds,8.5711,81.2335,Silver Star Inn
611,diamantino,BR,85.73,broken clouds,-14.4086,-56.4461,Hotel kayaby
614,iquitos,PE,80.64,moderate rain,-3.7481,-73.2472,Marfil del Amazonas
620,kluang,MY,79.99,overcast clouds,2.0251,103.3328,Setia
626,manokwari,ID,78.93,overcast clouds,-0.8667,134.0833,Hotel Arfak
631,victoria point,AU,78.08,broken clouds,-27.5833,153.3,Seminara Appartments
644,oistins,BB,80.69,scattered clouds,13.0667,-59.5333,The Abidah By Accra
656,barra do garcas,BR,82.17,scattered clouds,-15.89,-52.2567,Pousada Portal
660,oussouye,SN,77.99,overcast clouds,12.485,-16.5469,Campement Alulum
672,santa isabel do rio negro,BR,80.64,moderate rain,-0.4139,-65.0192,Hotel Maikon
674,soyo,AO,77.65,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
680,ishigaki,JP,75.97,overcast clouds,24.3448,124.1572,アートホテル石垣島
684,labuan,MY,80.08,overcast clouds,5.2767,115.2417,Labuan Avenue Hotel
687,ondjiva,AO,75.56,scattered clouds,-17.0667,15.7333,Águia Verde Hotel
702,lamu,KE,77.22,few clouds,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
704,wajir,KE,80.96,overcast clouds,1.7471,40.0573,Ngamia Club
